lr,batch_size,weight_decay,recon_loss_type,chamfer_weight,grad_clip,cls_weight,initialization_method,model_architecture,best_val_acc
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,89.69746524938675
0.0001,64,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.69746524938675
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.69746524938675
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.61569910057237
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.61569910057237
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,89.61569910057237
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.53393295175798
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.53393295175798
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.53393295175798
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.45216680294358
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.45216680294358
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.45216680294358
5e-05,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,89.45216680294358
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,89.37040065412918
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,32,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier,89.37040065412918
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.2886345053148
0.0001,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier,89.2886345053148
0.0001,32,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,89.2886345053148
0.0001,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier,89.2886345053148
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,89.2886345053148
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.2886345053148
5e-05,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,89.2886345053148
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,89.2886345053148
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.2886345053148
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.20686835650041
0.0001,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,89.20686835650041
5e-05,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.20686835650041
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,89.20686835650041
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.20686835650041
5e-05,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.20686835650041
0.0001,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,89.12510220768601
0.0001,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.12510220768601
5e-05,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,89.12510220768601
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,89.12510220768601
5e-05,32,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,89.12510220768601
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,89.12510220768601
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.12510220768601
5e-05,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,89.12510220768601
5e-05,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,89.12510220768601
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.12510220768601
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.12510220768601
5e-05,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.04333605887163
0.0001,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier,89.04333605887163
0.0001,64,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.04333605887163
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.04333605887163
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,89.04333605887163
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,89.04333605887163
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,89.04333605887163
5e-05,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.04333605887163
5e-05,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.04333605887163
0.0001,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier,89.04333605887163
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,89.04333605887163
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.04333605887163
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,88.96156991005724
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,88.96156991005724
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.96156991005724
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,88.96156991005724
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,88.96156991005724
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.96156991005724
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,88.96156991005724
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,88.96156991005724
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.96156991005724
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,88.96156991005724
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier,88.96156991005724
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,88.96156991005724
5e-05,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.96156991005724
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,88.96156991005724
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.96156991005724
0.0001,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.96156991005724
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.96156991005724
5e-05,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier,88.96156991005724
5e-05,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,88.96156991005724
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.96156991005724
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.96156991005724
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.96156991005724
0.0001,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,88.87980376124285
0.0001,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,88.87980376124285
5e-05,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.87980376124285
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,88.87980376124285
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.87980376124285
5e-05,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.87980376124285
5e-05,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,88.87980376124285
5e-05,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.87980376124285
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.87980376124285
5e-05,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier,88.87980376124285
5e-05,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.87980376124285
5e-05,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier,88.87980376124285
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.87980376124285
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,88.87980376124285
5e-05,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.87980376124285
5e-05,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier,88.87980376124285
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,88.87980376124285
0.0001,64,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.87980376124285
0.0001,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,88.87980376124285
5e-05,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier,88.87980376124285
0.0001,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier,88.79803761242846
0.0001,64,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier,88.79803761242846
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,88.79803761242846
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.79803761242846
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.79803761242846
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,88.79803761242846
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.79803761242846
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,88.79803761242846
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier,88.79803761242846
5e-05,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier,88.79803761242846
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,88.79803761242846
5e-05,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.79803761242846
5e-05,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,88.79803761242846
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.79803761242846
