lr,batch_size,weight_decay,recon_loss_type,chamfer_weight,grad_clip,cls_weight,initialization_method,model_architecture,best_val_acc
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,90.57591623036649
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,90.51047120418848
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,90.44502617801047
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,90.37958115183245
0.0001,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,90.37958115183245
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,90.31413612565446
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,90.24869109947645
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,90.24869109947645
0.0001,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,90.24869109947645
0.0001,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,90.24869109947645
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,90.24869109947645
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,90.24869109947645
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,90.18324607329843
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,90.18324607329843
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,90.18324607329843
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,90.18324607329843
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,90.18324607329843
0.0001,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,90.18324607329843
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,90.11780104712042
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,90.11780104712042
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,90.11780104712042
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,90.11780104712042
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier,90.11780104712042
0.0001,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,90.11780104712042
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,90.11780104712042
0.0001,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,90.11780104712042
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,90.11780104712042
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,90.0523560209424
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,90.0523560209424
5e-05,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,90.0523560209424
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,90.0523560209424
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,90.0523560209424
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,90.0523560209424
0.0001,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,90.0523560209424
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.9869109947644
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,64,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.9869109947644
5e-05,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,89.9869109947644
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,89.9869109947644
5e-05,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.9869109947644
0.0001,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,89.9869109947644
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,89.9869109947644
5e-05,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.9869109947644
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.9869109947644
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.92146596858639
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,89.92146596858639
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier,89.92146596858639
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,89.92146596858639
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,89.92146596858639
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.92146596858639
