lr,batch_size,weight_decay,recon_loss_type,chamfer_weight,grad_clip,cls_weight,initialization_method,model_architecture,best_val_acc
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,89.37040065412918
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.96156991005724
5e-05,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,88.96156991005724
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.87980376124285
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.87980376124285
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier,88.87980376124285
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,88.79803761242846
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,88.79803761242846
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.79803761242846
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.79803761242846
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,88.71627146361406
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.71627146361406
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.71627146361406
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,88.71627146361406
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.71627146361406
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,88.71627146361406
0.0001,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,88.71627146361406
5e-05,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.71627146361406
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.71627146361406
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.71627146361406
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.71627146361406
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,88.71627146361406
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,88.71627146361406
0.0001,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier,88.63450531479967
5e-05,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.63450531479967
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,88.63450531479967
0.0001,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,88.63450531479967
0.0001,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,88.63450531479967
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,88.63450531479967
